Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Tested
03/11/2021 12:00:00 AM,37649,33,564,0,832
03/12/2021 12:00:00 AM,37683,34,564,0,931
03/13/2021 12:00:00 AM,37703,20,564,0,488
03/14/2021 12:00:00 AM,37718,15,564,0,384
03/15/2021 12:00:00 AM,37757,39,566,2,1733
03/16/2021 12:00:00 AM,37780,23,566,0,1263
03/17/2021 12:00:00 AM,37807,27,566,0,1063
03/18/2021 12:00:00 AM,37835,28,566,0,779
03/19/2021 12:00:00 AM,37863,28,567,1,970
03/20/2021 12:00:00 AM,37878,15,567,0,476
03/21/2021 12:00:00 AM,37903,25,567,0,506
03/22/2021 12:00:00 AM,37925,22,568,1,1550
03/23/2021 12:00:00 AM,37950,25,568,0,1175
03/24/2021 12:00:00 AM,37971,21,568,0,1193
03/25/2021 12:00:00 AM,37995,24,569,1,913
03/26/2021 12:00:00 AM,38027,32,570,1,996
03/27/2021 12:00:00 AM,38039,12,570,0,487
03/28/2021 12:00:00 AM,38055,16,570,0,476
03/29/2021 12:00:00 AM,38083,28,570,0,1408
03/30/2021 12:00:00 AM,38106,23,570,0,1054
03/31/2021 12:00:00 AM,38136,30,570,0,1041
04/01/2021 12:00:00 AM,38171,35,570,0,795
04/02/2021 12:00:00 AM,38206,35,570,0,918
04/03/2021 12:00:00 AM,38225,19,570,0,553
04/04/2021 12:00:00 AM,38240,15,570,0,391
04/05/2021 12:00:00 AM,38268,28,572,2,1572
04/06/2021 12:00:00 AM,38303,35,572,0,1328
04/07/2021 12:00:00 AM,38328,25,572,0,1156
04/08/2021 12:00:00 AM,38353,25,574,2,805
04/09/2021 12:00:00 AM,38382,29,574,0,931
04/10/2021 12:00:00 AM,38409,27,575,1,568
04/11/2021 12:00:00 AM,38426,17,575,0,412
04/12/2021 12:00:00 AM,38480,54,575,0,1742
04/13/2021 12:00:00 AM,38514,34,577,2,1363
04/14/2021 12:00:00 AM,38545,31,577,0,1318
04/15/2021 12:00:00 AM,38575,30,577,0,1038
04/16/2021 12:00:00 AM,38611,36,577,0,942
04/17/2021 12:00:00 AM,38640,29,577,0,481
04/18/2021 12:00:00 AM,38663,23,579,2,448
04/19/2021 12:00:00 AM,38711,48,579,0,1288
04/20/2021 12:00:00 AM,38741,30,579,0,1079
04/21/2021 12:00:00 AM,38790,49,579,0,1106
04/22/2021 12:00:00 AM,38827,37,579,0,861
04/23/2021 12:00:00 AM,38873,46,579,0,835
04/24/2021 12:00:00 AM,38910,37,579,0,529
04/25/2021 12:00:00 AM,38941,31,579,0,426
04/26/2021 12:00:00 AM,39008,67,580,1,1193
04/27/2021 12:00:00 AM,39055,47,582,2,1038
04/28/2021 12:00:00 AM,39108,53,582,0,1057
04/29/2021 12:00:00 AM,39156,48,582,0,800
04/30/2021 12:00:00 AM,39187,31,583,1,856
05/01/2021 12:00:00 AM,39220,33,583,0,493
05/02/2021 12:00:00 AM,39252,32,584,1,453
05/03/2021 12:00:00 AM,39306,54,584,0,1188
05/04/2021 12:00:00 AM,39347,41,586,2,1104
05/05/2021 12:00:00 AM,39395,48,586,0,1007
05/06/2021 12:00:00 AM,39434,39,586,0,804
05/07/2021 12:00:00 AM,39455,21,586,0,752
05/08/2021 12:00:00 AM,39479,24,587,1,503
05/09/2021 12:00:00 AM,39492,13,587,0,413
05/10/2021 12:00:00 AM,39533,41,588,1,1196
05/11/2021 12:00:00 AM,39564,31,588,0,1068
05/12/2021 12:00:00 AM,39598,34,588,0,1012
05/13/2021 12:00:00 AM,39629,31,588,0,915
05/14/2021 12:00:00 AM,39651,22,589,1,789
05/15/2021 12:00:00 AM,39675,24,590,1,622
05/16/2021 12:00:00 AM,39700,25,591,1,471
05/17/2021 12:00:00 AM,39732,32,591,0,1414
05/18/2021 12:00:00 AM,39776,44,593,2,1347
05/19/2021 12:00:00 AM,39802,26,593,0,1183
05/20/2021 12:00:00 AM,39831,29,593,0,972
05/21/2021 12:00:00 AM,39850,19,593,0,975
05/22/2021 12:00:00 AM,39864,14,594,1,369
05/23/2021 12:00:00 AM,39880,16,595,1,421
05/24/2021 12:00:00 AM,39914,34,596,1,1192
05/25/2021 12:00:00 AM,39938,24,596,0,1105
05/26/2021 12:00:00 AM,39963,25,596,0,868
05/27/2021 12:00:00 AM,39979,16,596,0,763
05/28/2021 12:00:00 AM,39991,12,596,0,642
05/29/2021 12:00:00 AM,40000,9,596,0,329
05/30/2021 12:00:00 AM,40008,8,596,0,360
05/31/2021 12:00:00 AM,40018,10,596,0,362
06/01/2021 12:00:00 AM,40037,19,596,0,1259
06/02/2021 12:00:00 AM,40049,12,597,1,818
06/03/2021 12:00:00 AM,40072,23,597,0,735
06/04/2021 12:00:00 AM,40087,15,598,1,665
06/05/2021 12:00:00 AM,40101,14,598,0,361
06/06/2021 12:00:00 AM,40108,7,598,0,350
06/07/2021 12:00:00 AM,40132,24,599,1,929
06/08/2021 12:00:00 AM,40145,13,599,0,951
06/09/2021 12:00:00 AM,40164,19,600,1,705
06/10/2021 12:00:00 AM,40194,30,602,2,742
06/11/2021 12:00:00 AM,40209,15,603,1,652
06/12/2021 12:00:00 AM,40220,11,603,0,406
06/13/2021 12:00:00 AM,40240,20,603,0,389
06/14/2021 12:00:00 AM,40271,31,603,0,1027
06/15/2021 12:00:00 AM,40287,16,605,2,831
06/16/2021 12:00:00 AM,40312,25,605,0,713
06/17/2021 12:00:00 AM,40334,22,605,0,719
06/18/2021 12:00:00 AM,40352,18,605,0,584
06/19/2021 12:00:00 AM,40368,16,605,0,514
06/20/2021 12:00:00 AM,40386,18,605,0,381
06/21/2021 12:00:00 AM,40415,29,605,0,1153
06/22/2021 12:00:00 AM,40445,30,606,1,1132
06/23/2021 12:00:00 AM,40477,32,606,0,820
06/24/2021 12:00:00 AM,40512,35,608,2,725
06/25/2021 12:00:00 AM,40540,28,609,1,589
06/26/2021 12:00:00 AM,40572,32,609,0,356
06/27/2021 12:00:00 AM,40596,24,609,0,362
06/28/2021 12:00:00 AM,40632,36,610,1,991
06/29/2021 12:00:00 AM,40672,40,610,0,705
06/30/2021 12:00:00 AM,40705,33,610,0,624
07/01/2021 12:00:00 AM,40739,34,611,1,558
07/02/2021 12:00:00 AM,40779,40,611,0,565
07/03/2021 12:00:00 AM,40816,37,611,0,396
07/04/2021 12:00:00 AM,40827,11,611,0,201
07/05/2021 12:00:00 AM,40877,50,612,1,591
07/06/2021 12:00:00 AM,40937,60,612,0,1203
07/07/2021 12:00:00 AM,41003,66,612,0,822
07/08/2021 12:00:00 AM,41067,64,613,1,1043
07/09/2021 12:00:00 AM,41127,60,614,1,758
07/10/2021 12:00:00 AM,41179,52,614,0,523
07/11/2021 12:00:00 AM,41237,58,614,0,459
07/12/2021 12:00:00 AM,41359,122,616,2,1368
07/13/2021 12:00:00 AM,41451,92,616,0,1102
07/14/2021 12:00:00 AM,41550,99,618,2,1047
07/15/2021 12:00:00 AM,41671,121,618,0,1067
07/16/2021 12:00:00 AM,41792,121,618,0,976
07/17/2021 12:00:00 AM,41882,90,620,2,648
07/18/2021 12:00:00 AM,41974,92,622,2,604
07/19/2021 12:00:00 AM,42105,131,622,0,1610
07/20/2021 12:00:00 AM,42275,170,624,2,1595
07/21/2021 12:00:00 AM,42463,188,624,0,1594
07/22/2021 12:00:00 AM,42655,192,624,0,1482
07/23/2021 12:00:00 AM,42826,171,625,1,1299
07/24/2021 12:00:00 AM,42973,147,627,2,897
07/25/2021 12:00:00 AM,43125,152,627,0,792
07/26/2021 12:00:00 AM,43332,207,628,1,2041
07/27/2021 12:00:00 AM,43559,227,628,0,2171
07/28/2021 12:00:00 AM,43785,226,629,1,2097
